Sample:float,Data:float
"334.0","37.0"
"335.0","4069.0"
"336.0","33.0"
"337.0","40.0"
"338.0","35.0"
"339.0","3055.0"
"340.0","54.0"
"341.0","36.0"
"342.0","4074.0"
"343.0","56.0"
"344.0","27.0"
"345.0","4087.0"
"346.0","26.0"
"347.0","48.0"
"348.0","36.0"
"349.0","1062.0"
"350.0","44.0"
"351.0","19.0"
"352.0","27.0"
"353.0","53.0"
"354.0","33.0"
"355.0","25.0"
"356.0","39.0"
"357.0","52.0"
"358.0","53.0"
"359.0","29.0"
"360.0","27.0"
"361.0","49.0"
"362.0","63.0"
"363.0","34.0"
"364.0","27.0"
"365.0","43.0"
"366.0","60.0"
"367.0","45.0"
"368.0","25.0"
"369.0","45.0"
"370.0","38.0"
"371.0","48.0"
"372.0","41.0"
"373.0","27.0"
"374.0","43.0"
"375.0","32.0"
"376.0","61.0"
"377.0","41.0"
"378.0","27.0"
"379.0","56.0"
"380.0","29.0"
"381.0","44.0"
"382.0","18.0"
"383.0","36.0"
"384.0","31.0"
"385.0","41.0"
"386.0","43.0"
"387.0","39.0"
"388.0","51.0"
"389.0","42.0"
"390.0","38.0"
"391.0","27.0"
"392.0","39.0"
"393.0","39.0"
"394.0","23.0"
"395.0","46.0"
"396.0","46.0"
"397.0","19.0"
"398.0","68.0"
"399.0","25.0"
"400.0","48.0"
"401.0","34.0"
"402.0","987.0"
"403.0","58.0"
"404.0","52.0"
"405.0","41.0"
"406.0","42.0"
"407.0","12.0"
"408.0","40.0"
"409.0","28.0"
"410.0","41.0"
"411.0","43.0"
"412.0","41.0"
"413.0","41.0"
"414.0","35.0"
"415.0","1027.0"
"416.0","37.0"
"417.0","18.0"
"418.0","31.0"
"419.0","33.0"
"420.0","38.0"
"421.0","54.0"
"422.0","72.0"
"423.0","18.0"
"424.0","46.0"
"425.0","45.0"
"426.0","32.0"
"427.0","12.0"
"428.0","31.0"
"429.0","52.0"
"430.0","21.0"
"431.0","43.0"
"432.0","42.0"
"433.0","21.0"
"434.0","37.0"
"435.0","40.0"
"436.0","43.0"
"437.0","44.0"
"438.0","48.0"
"439.0","23.0"
"440.0","34.0"
"441.0","31.0"
"442.0","41.0"
"443.0","50.0"
"444.0","40.0"
"445.0","24.0"
"446.0","48.0"
"447.0","43.0"
"448.0","46.0"
"449.0","1027.0"
"450.0","38.0"
"451.0","27.0"
"452.0","1038.0"
"453.0","29.0"
"454.0","30.0"
"455.0","29.0"
"456.0","48.0"
"457.0","32.0"
"458.0","20.0"
"459.0","51.0"
"460.0","29.0"
"461.0","53.0"
"462.0","29.0"
"463.0","31.0"
"464.0","21.0"
"465.0","36.0"
"466.0","54.0"
"467.0","22.0"
"468.0","30.0"
"469.0","46.0"
"470.0","17.0"
"471.0","32.0"
"472.0","34.0"
"473.0","52.0"
"474.0","31.0"
"475.0","39.0"
"476.0","43.0"
"477.0","45.0"
"478.0","37.0"
"479.0","27.0"
"480.0","33.0"
"481.0","55.0"
"482.0","53.0"
"483.0","40.0"
"484.0","24.0"
"485.0","34.0"
"486.0","36.0"
"487.0","29.0"
"488.0","41.0"
"489.0","33.0"
"490.0","43.0"
"491.0","28.0"
"492.0","38.0"
"493.0","49.0"
"494.0","37.0"
"495.0","42.0"
"496.0","58.0"
"497.0","40.0"
"498.0","52.0"
"499.0","43.0"
"500.0","51.0"
"501.0","50.0"
"502.0","32.0"
"503.0","39.0"
"504.0","50.0"
"505.0","39.0"
"506.0","32.0"
"507.0","1007.0"
"508.0","41.0"
"509.0","41.0"
"510.0","16.0"
"511.0","19.0"
"512.0","33.0"
"513.0","46.0"
"514.0","32.0"
"515.0","53.0"
"516.0","27.0"
"517.0","391.0"
"518.0","34.0"
"519.0","37.0"
"520.0","36.0"
"521.0","23.0"
"522.0","44.0"
"523.0","43.0"
"524.0","40.0"
"525.0","39.0"
"526.0","38.0"
"527.0","47.0"
"528.0","38.0"
"529.0","1054.0"
"530.0","32.0"
"531.0","42.0"
"532.0","29.0"
"533.0","42.0"
