Part/Designator,DigiKey,Quantity,Description
PS1,811-1706-5-ND,1,12V to 5V DC DC Converter
,,,
,,,
,,,
,,,
,,,
,,,
Con1,WM7620TR-ND,1,"Molex 53261, 2 pos Connector"
Con2,WM7620TR-ND,1,"Molex 53261, 2 pos Connector"
Con3,WM7622TR-ND,1,"Molex 53261, 4 pos Connector"
D1,475-1278-2-ND,1,Red
R1,311-330GRCT-ND,1,"330 ohm, 0603 Resistor"
"R6, R7, R2",311-10.0KHRTR-ND,3,"10 kohm, 0603 resistor"
IC1,INA125U-ND,1,INA125u
C2,BC1160TR-ND,`,0.1 uF Capacitor. Pth
"BIAS, RG",3266Y-1-103LF-ND,2,"10K, trim POT"
